model,num_rules,seed,accuracy,omission_pct,modification_pct,recency_ratio,latency
openai/gpt-4.5-preview,100,0,91.0,22.22222222222222,77.77777777777779,2.5,35.74924874305725
google/gemini-2.5-flash-preview-05-20,100,0,85.0,86.66666666666667,13.333333333333334,4.499999999999999,12.508386135101318
anthropic/claude-opus-4,80,0,98.75,0.0,100.0,,68.28447985649109
anthropic/claude-3.7-sonnet,100,0,96.0,75.0,25.0,3.0,34.79733729362488
anthropic/claude-sonnet-4,100,0,99.0,0.0,100.0,0.0,32.83848309516907
x-ai/grok-3-beta,100,0,97.0,100.0,0.0,,23.488175868988037
deepseek/deepseek-r1-0528,100,0,94.0,83.33333333333334,16.666666666666664,0.6666666666666666,21.77582621574402
openai/gpt-4o,100,0,49.0,90.19607843137256,9.803921568627452,0.9333333333333333,12.019016981124878
google/gemini-2.5-pro-preview,100,0,98.0,100.0,0.0,0.0,42.91546988487244
meta-llama/llama-4-scout,90,0,31.11111111111111,93.54838709677419,6.451612903225806,1.7333333333333334,6.61194109916687
qwen/qwen3-235b-a22b,70,0,77.14285714285715,37.5,62.5,4.5,58.800896883010864
openai/gpt-4.1-mini,110,0,72.72727272727273,73.33333333333333,26.666666666666668,1.7142857142857142,11.179126739501951
openai/gpt-4.1,110,0,94.54545454545455,33.33333333333333,66.66666666666666,0.0,14.93564486503601
openai/gpt-4o,110,0,47.27272727272727,68.96551724137932,31.03448275862069,0.7999999999999999,12.001967906951904
openai/gpt-4.5-preview,110,0,92.72727272727272,87.5,12.5,0.0,30.72268509864807
openai/gpt-4o-mini,110,0,36.36363636363637,82.85714285714286,17.142857142857142,1.0416666666666667,13.036997079849243
meta-llama/llama-4-scout,70,0,30.0,95.91836734693877,4.081632653061225,1.2,7.654366970062256
openai/gpt-4.1-nano,110,0,55.45454545454545,85.71428571428571,14.285714285714285,1.2,7.590458154678345
google/gemini-2.5-flash-preview-05-20,110,0,75.45454545454545,77.77777777777779,22.22222222222222,1.0,11.210609197616575
qwen/qwen3-235b-a22b,100,0,78.0,77.27272727272727,22.727272727272727,1.3333333333333333,47.04748511314392
anthropic/claude-3.5-haiku,110,0,42.72727272727273,95.23809523809523,4.761904761904762,1.4444444444444444,12.030943870544434
anthropic/claude-opus-4,100,0,95.0,60.0,40.0,,90.68981719017027
meta-llama/llama-4-maverick,110,0,29.09090909090909,93.58974358974359,6.41025641025641,1.173913043478261,1.901494026184082
deepseek/deepseek-r1-0528,110,0,98.18181818181819,0.0,100.0,0.0,17.226507902145386
anthropic/claude-sonnet-4,110,0,92.72727272727272,75.0,25.0,0.5,31.308774948120117
x-ai/grok-3-beta,110,0,98.18181818181819,100.0,0.0,,23.578222036361694
qwen/qwen3-235b-a22b,60,0,86.66666666666667,87.5,12.5,0.6666666666666667,37.296913146972656
anthropic/claude-3.7-sonnet,110,0,91.81818181818183,55.55555555555556,44.44444444444444,,40.976943254470825
meta-llama/llama-4-maverick,100,0,42.0,91.37931034482759,8.620689655172415,1.1764705882352942,5.865557909011841
